title,locality,city,bhk_raw,price_raw,price_per_sqft_raw,area_raw,floor_raw,furnishing_raw,society_raw,listing_url,scraped_at
"3 BHK Flat for Sale in A & O F Residences, Ghatkopar, Mumbai",,Mumbai,,"₹
3.70 Cr",,1060 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=29",2026-05-19T01:19:58.873127
"3 BHK Flat for Sale in Tunga Village, Mumbai",,Mumbai,,"₹
6.49 Cr",,1478 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=30",2026-05-19T01:21:06.319901
"3 BHK Flat for Sale in Choice Ambe Darshan, Pant Nagar, Mumbai",,Mumbai,,"₹
3.40 Cr",,1074 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=33",2026-05-19T01:23:35.071038
"2 BHK Flat for Sale in Benzer Tower, Ashok Nagar Kandivali East, Mumbai",,Mumbai,,"₹
1.97 Cr",,850 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=34",2026-05-19T01:23:50.439101
"1 BHK Flat for Sale in Abrol Residency, Malad West, Mumbai",,Mumbai,,"₹
1.20 Cr",,450 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=35",2026-05-19T01:24:05.136422
"4 BHK Flat for Sale in Bellaza, Khar West, Mumbai",,Mumbai,,"₹
8 Cr",,1450 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=36",2026-05-19T01:24:21.678063
"1 BHK Flat for Sale in Golden Isle, Goregaon East, Mumbai",,Mumbai,,"₹
62.8 Lac",,360 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=38",2026-05-19T01:26:41.577063
"1 BHK Flat for Sale in D J Nest, Collector Colony, Mumbai",,Mumbai,,"₹
1.20 Cr",,425 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=40",2026-05-19T01:28:04.511216
"1 BHK Flat for Sale in Casa Vista, Virar, Mumbai",,Mumbai,,"₹
28 Lac",,443 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=41",2026-05-19T01:28:19.916381
"3 BHK Flat for Sale in Mahindra Vivante, Andheri East, Mumbai",,Mumbai,,"₹
4.25 Cr",,1289 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=42",2026-05-19T01:28:33.616982
"2 BHK Flat for Sale in Paschim Apartments, Prabhadevi, Mumbai",,Mumbai,,"₹
3.65 Cr",,587 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=43",2026-05-19T01:28:49.063625
"1 BHK Flat for Sale in Sai Charan Darshan CHS, Bhayandar East, Mumbai",,Mumbai,,"₹
35 Lac",,288 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=44",2026-05-19T01:29:01.554824
"3 BHK Flat for Sale in Mahavir Nagar Kandivali West, Mumbai",,Mumbai,,"₹
2.85 Cr",,850 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=45",2026-05-19T01:29:14.819663
"2 BHK Flat for Sale in Classic View CHS, Kandarpada, Mumbai",,Mumbai,,"₹
1.75 Cr",,630 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=46",2026-05-19T01:30:27.003827
"1 BHK Flat for Sale in Mithul Enclave, Chembur, Mumbai",,Mumbai,,"₹
88 Lac",,375 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=47",2026-05-19T01:30:41.044780
"1 BHK Flat for Sale in Hubtown Akruti Orchid Park, Andheri East, Mumbai",,Mumbai,,"₹
1.20 Cr",,468 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=48",2026-05-19T01:30:56.927125
"1 BHK Flat for Sale in Bhoomi Acropolis, Chikhal Dongari, Mumbai",,Mumbai,,"₹
33.5 Lac",,454 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=49",2026-05-19T01:31:09.729140
"2 BHK Flat for Sale in Aadi Allure, Kanjurmarg East, Mumbai",,Mumbai,,"₹
1.79 Cr",,1080 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=50",2026-05-19T01:31:27.115488
"2 BHK Flat for Sale in Prime Avenue, Sector 19 Ulwe, Navi Mumbai",,Navi Mumbai,,"₹
1.08 Cr",,716 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=1",2026-05-19T01:32:13.475483
"5 BHK Flat for Sale in Marathon Nexzone, Panvel, Navi Mumbai",,Navi Mumbai,,"₹
2.04 Cr",,1431 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=2",2026-05-19T01:32:27.561057
"1 BHK Flat for Sale in Gami Telon, Sector 3 Ghansoli, Navi Mumbai",,Navi Mumbai,,"₹
94.5 Lac",,387 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=3",2026-05-19T01:32:44.572209
"3 BHK Flat for Sale in Bhagwati New Palm Beach, Airoli, Navi Mumbai",,Navi Mumbai,,"₹
2.50 Cr",,1066 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=4",2026-05-19T01:33:01.527048
Plot/Land for Sale in Dronagiri Navi Mumbai,,Navi Mumbai,,"₹
21 Lac",,431 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=6",2026-05-19T01:34:24.305147
"1 BHK Flat for Sale in Ulwe Navi Mumbai, Sector 9 Ulwe, Navi Mumbai",,Navi Mumbai,,"₹
45 Lac",,440 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=7",2026-05-19T01:34:40.526319
"3 BHK Flat for Sale in Paradise Sai World City, Palaspe Phata, Navi Mumbai",,Navi Mumbai,,"₹
2.17 Cr",,1190 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=8",2026-05-19T01:34:57.420956
"3 BHK Flat for Sale in Giriraj Towers, Roadpali, Navi Mumbai",,Navi Mumbai,,"₹
1 Cr",,1134 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=9",2026-05-19T01:35:11.185854
"1 BHK Flat for Sale in Neelsidhi Orbit, New Panvel, Navi Mumbai",,Navi Mumbai,,"₹
48 Lac",,576 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=10",2026-05-19T01:35:27.964278
"1 BHK Flat for Sale in Lakshadeep Heights, Karanjade, Navi Mumbai",,Navi Mumbai,,"₹
34 Lac",,432 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=11",2026-05-19T01:35:43.969485
"2 BHK Flat for Sale in Pooja CHS, Airoli, Navi Mumbai",,Navi Mumbai,,"₹
1.25 Cr",,832 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=12",2026-05-19T01:35:57.284431
"2 BHK Flat for Sale in Bhairaav Goldcrest Residency, Ghansoli, Navi Mumbai",,Navi Mumbai,,"₹
1.40 Cr",,836 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=13",2026-05-19T01:36:11.119413
"2 BHK Flat for Sale in Paradise Sai Wonder, Kharghar, Navi Mumbai",,Navi Mumbai,,"₹
88 Lac",,803 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=14",2026-05-19T01:36:26.136101
"1 BHK Flat for Sale in Sai Proviso Icon, Roadpali, Navi Mumbai",,Navi Mumbai,,"₹
55 Lac",,526 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=15",2026-05-19T01:36:39.312144
"2 BHK Flat for Sale in Neelkanth Vandan, Old Panvel, Navi Mumbai",,Navi Mumbai,,"₹
1.05 Cr",,689 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=16",2026-05-19T01:36:55.466987
"2 BHK Flat for Sale in Hari Om Complex, Kamothe, Navi Mumbai",,Navi Mumbai,,"₹
72 Lac",,770 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=17",2026-05-19T01:37:09.967155
"1 BHK Flat for Sale in Sai Prince, Ulwe, Navi Mumbai",,Navi Mumbai,,"₹
35.5 Lac",,395 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=18",2026-05-19T01:37:26.429068
"2 BHK Flat for Sale in Marathon Nexzone, Panvel, Navi Mumbai",,Navi Mumbai,,"₹
80 Lac",,625 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=19",2026-05-19T01:37:42.717959
"2 BHK Flat for Sale in Mahalaxmi City , Panvel, Navi Mumbai",,Navi Mumbai,,"₹
30 Lac",,561 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=20",2026-05-19T01:37:58.078770
"2 BHK Flat for Sale in Satyam Bellagio, Sanpada, Navi Mumbai",,Navi Mumbai,,"₹
1.73 Cr",,1178 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=21",2026-05-19T01:38:12.083276
"3 BHK Flat for Sale in Babas Pearl Height, Kamothe, Navi Mumbai",,Navi Mumbai,,"₹
1.30 Cr",,1152 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Navi+Mumbai&page=22",2026-05-19T01:38:24.640709
